runid,start_time,spatial_index,intersect_time,join_time,cluster_time,stop_time,total_time,user_id
732,4/4/2020 17:38,r_tree_local,2.272943974,21.14908791,2.222027302,4/4/2020 17:39,25.64505649,156
733,4/4/2020 17:39,r_tree_local,2.25694418,22.49831319,2.666871071,4/4/2020 17:39,27.42312908,81
734,4/4/2020 17:39,r_tree_local,2.236017704,10.96517491,2.199116707,4/4/2020 17:40,15.40030932,101
735,4/4/2020 17:40,r_tree_local,2.251975536,14.04944015,4.914852142,4/4/2020 17:40,21.21723676,5
736,4/4/2020 17:40,r_tree_local,2.25297308,24.83958697,2.192107439,4/4/2020 17:40,29.28566504,57
737,4/4/2020 17:40,r_tree_local,2.249981165,17.61898971,3.479690313,4/4/2020 17:41,23.35065651,43
738,4/4/2020 17:41,r_tree_local,2.245990515,23.53075695,16.69633055,4/4/2020 17:42,42.47605658,13
739,4/4/2020 17:42,r_tree_local,2.249982595,15.46961164,6.590368032,4/4/2020 17:42,24.31095886,119
740,4/4/2020 17:42,r_tree_local,2.260951042,15.49155426,2.29086113,4/4/2020 17:42,20.04537106,31
741,4/4/2020 17:42,r_tree_local,2.238996744,24.00583148,2.207068205,4/4/2020 17:43,28.45189643,114
742,4/4/2020 17:43,r_tree_local,2.235048294,23.01399088,2.172132969,4/4/2020 17:43,27.42319417,72
743,4/4/2020 17:43,r_tree_local,2.249009609,16.86642408,2.165208101,4/4/2020 17:44,21.28064179,53
744,4/4/2020 17:44,r_tree_local,2.263970613,8.932295799,2.344755173,4/4/2020 17:44,13.54199195,88
745,4/4/2020 17:44,r_tree_local,2.248982668,20.48991323,51.89917326,4/4/2020 17:45,74.64006162,128
746,4/4/2020 17:45,r_tree_local,2.272944927,16.61857057,2.165180206,4/4/2020 17:45,21.05769253,118
747,4/4/2020 17:45,r_tree_local,2.261975288,8.896748066,2.21607089,4/4/2020 17:46,13.37479424,54
748,4/4/2020 17:46,r_tree_local,2.234050274,12.37489438,10.6484921,4/4/2020 17:46,25.25743675,126
749,4/4/2020 17:46,r_tree_local,2.24302721,25.44689035,14.44738936,4/4/2020 17:47,42.1393013,4
750,4/4/2020 17:47,r_tree_local,2.259980202,24.21123099,3.221380949,4/4/2020 17:47,29.6935637,29
751,4/4/2020 17:47,r_tree_local,2.254994631,17.78243041,4.129980326,4/4/2020 17:48,24.17036843,142
752,4/4/2020 17:48,r_tree_local,2.247011662,18.1853745,2.265942812,4/4/2020 17:48,22.69932604,69
753,4/4/2020 17:48,r_tree_local,2.253993511,11.22497034,3.13757658,4/4/2020 17:48,16.61753941,125
754,4/4/2020 17:48,r_tree_local,2.236044407,15.01088572,2.181306839,4/4/2020 17:49,19.43117738,97
755,4/4/2020 17:49,r_tree_local,2.254124641,15.13550615,3.604334116,4/4/2020 17:49,20.99595451,16
756,4/4/2020 17:49,r_tree_local,2.254648924,13.88885713,2.469393015,4/4/2020 17:49,18.61386991,113
757,4/4/2020 17:49,r_tree_local,2.260950804,10.71840143,3.235371351,4/4/2020 17:50,16.21669126,44
758,4/4/2020 17:50,r_tree_local,2.232186556,15.72592473,2.713740349,4/4/2020 17:50,20.67283821,73
759,4/4/2020 17:50,r_tree_local,2.258957624,10.81712675,2.366661072,4/4/2020 17:50,15.4447403,59
760,4/4/2020 17:50,r_tree_local,2.253970861,9.399944544,2.140244961,4/4/2020 17:50,13.79515767,107
761,4/4/2020 17:50,r_tree_local,2.250977516,9.858623505,2.186150789,4/4/2020 17:51,14.29874301,47
762,4/4/2020 17:51,r_tree_local,2.231031895,8.660861015,3.19844079,4/4/2020 17:51,14.09229755,29
763,4/4/2020 17:51,r_tree_local,2.262945175,7.8968997,52.63966823,4/4/2020 17:52,62.8014915,128
764,4/4/2020 17:52,r_tree_local,2.249981165,13.06005812,2.162214279,4/4/2020 17:52,17.47325134,136
765,4/4/2020 17:52,r_tree_local,2.235990286,27.33290219,2.914203405,4/4/2020 17:53,32.48406649,159
766,4/4/2020 17:53,r_tree_local,2.251016617,20.59192348,59.98156381,4/4/2020 17:54,82.82645631,52
767,4/4/2020 17:54,r_tree_local,2.253969431,26.99881053,2.593064308,4/4/2020 17:55,31.84781051,19
768,4/4/2020 17:55,r_tree_local,2.247986317,31.19055128,2.157227993,4/4/2020 17:55,35.5977602,151
769,4/4/2020 17:55,r_tree_local,2.250978231,24.66314173,2.141273975,4/4/2020 17:56,29.0561235,138
770,4/4/2020 17:56,r_tree_local,2.255991697,24.12848878,52.44549918,4/4/2020 17:57,78.83194876,128
771,4/4/2020 17:57,r_tree_local,2.266961813,16.7611289,2.143265724,4/4/2020 17:57,21.17235374,171
772,4/4/2020 17:57,r_tree_local,2.244994164,4.874984264,3.993343592,4/4/2020 17:58,11.11528993,75
773,4/4/2020 17:58,r_tree_local,2.244023561,10.23268175,21.940274,4/4/2020 17:58,34.41697931,163
774,4/4/2020 17:58,r_tree_local,2.235046148,8.668832302,2.170217514,4/4/2020 17:58,13.07603908,97
775,4/4/2020 17:58,r_tree_local,2.250008821,20.50717211,10.53481293,4/4/2020 17:59,33.29396319,2
776,4/4/2020 17:59,r_tree_local,2.255991936,13.11790609,2.174182177,4/4/2020 17:59,17.55005002,60
777,4/4/2020 17:59,r_tree_local,2.252004862,9.934422016,2.156231165,4/4/2020 17:59,14.34362435,138
778,4/4/2020 17:59,r_tree_local,2.245176792,20.91703725,2.154208422,4/4/2020 18:00,25.31642246,154
779,4/4/2020 18:00,r_tree_local,2.260977507,19.30056834,2.144237041,4/4/2020 18:00,23.70578289,173
780,4/4/2020 18:00,r_tree_local,2.252001286,16.38505268,3.607322216,4/4/2020 18:01,22.24437618,26
781,4/4/2020 18:01,r_tree_local,2.242999077,12.1934278,2.625003576,4/4/2020 18:01,17.06339598,19
782,4/4/2020 18:01,r_tree_local,2.253996134,55.69850636,2.16118741,4/4/2020 18:02,60.1136899,181
783,4/4/2020 18:02,r_tree_local,2.235992193,19.75617313,2.149160862,4/4/2020 18:02,24.14232278,173
